,avgpss,batchid,computingsite,cpu_eff,cpuconsumptiontime,modificationhost,pandaid,wall_time
252,1610688.0,6465232,IN2P3-CC,0.96860015,6262,ccwsge0796,2858624394,6465
253,2670136.0,6420760,IN2P3-CC,0.9811953,14349,ccwsge0590,2858085225,14624
254,2695373.0,6419927,IN2P3-CC,0.9782622,16291,ccwsge0800,2858086579,16653
255,2715956.0,6419395,IN2P3-CC,0.9799056,15361,ccwsge0810,2858086611,15676
256,2707261.0,6419212,IN2P3-CC,0.9746045,14046,ccwsge0586,2858086563,14412
257,1589716.0,6461779,IN2P3-CC,0.9656598,6074,ccwsge0589,2858623430,6290
258,1586452.0,6461775,IN2P3-CC,0.97014433,5849,ccwsge0775,2858623425,6029
259,2739660.0,6419921,IN2P3-CC,0.97855836,16019,ccwsge1115,2858085331,16370
260,980659.0,6475427,IN2P3-CC,0.87584347,649,ccwsge0780,2858841648,741
261,2603011.0,6419923,IN2P3-CC,0.9790091,15531,ccwsge0826,2858085369,15864
262,2741630.0,6419213,IN2P3-CC,0.9776409,15872,ccwsge0805,2858085387,16235
263,1609195.0,6461513,IN2P3-CC,0.96444136,5533,ccwsge0824,2858623416,5737
264,1596219.0,6461773,IN2P3-CC,0.9668583,6389,ccwsge0248,2858623421,6608
265,2719021.0,6419925,IN2P3-CC,0.981009,15187,ccwsge0799,2858086576,15481
266,1734245.0,6461766,IN2P3-CC,0.95919144,5030,ccwsge0597,2858623392,5244
267,1593784.0,6461387,IN2P3-CC,0.9664688,6024,ccwsge0569,2858623394,6233
268,2705674.0,6420234,IN2P3-CC,0.9783057,16595,ccwsge0829,2858086971,16963
269,2784704.0,6419390,IN2P3-CC,0.97302055,35921,ccwsge0723,2858086638,36917
270,2728690.0,6419394,IN2P3-CC,0.97523165,16734,ccwsge0354,2858086677,17159
271,2644954.0,6419215,IN2P3-CC,0.97193646,17386,ccwsge0281,2858086568,17888
272,1773082.0,6453312,IN2P3-CC,0.9677678,9668,ccwsge1140,2858532283,9990
273,1762358.0,6453292,IN2P3-CC,0.9595894,8881,ccwsge0263,2858532284,9255
274,1718150.0,6461700,IN2P3-CC,0.95325106,8034,ccwsge0809,2858623755,8428
275,1708587.0,6462109,IN2P3-CC,0.95858747,8958,ccwsge0210,2858623760,9345
276,1672925.0,6462110,IN2P3-CC,0.95794076,8541,ccwsge0260,2858623761,8916
277,1314414.0,6474983,IN2P3-CC,0.9067987,4028,ccwsge0116,2858835635,4442
278,1650355.0,6461202,IN2P3-CC,0.96589196,8977,ccwsge0763,2858623614,9294
279,1655667.0,6453232,IN2P3-CC,0.9638677,10377,ccwsge0354,2858532162,10766
280,1717777.0,6453322,IN2P3-CC,0.97087,10032,ccwsge0801,2858532166,10333
281,1659102.0,6464580,IN2P3-CC,0.9717456,7532,ccwsge0765,2858624113,7751
282,1591386.0,6464209,IN2P3-CC,0.9679767,7980,ccwsge0942,2858624116,8244
283,1689164.0,6464579,IN2P3-CC,0.97105545,8253,ccwsge1111,2858624117,8499
284,1593279.0,6464167,IN2P3-CC,0.96955824,8472,ccwsge0806,2858624064,8738
285,1727622.0,6464178,IN2P3-CC,0.96367043,7719,ccwsge1145,2858624074,8010
286,1612844.0,6464163,IN2P3-CC,0.9665137,7793,ccwsge0820,2858624058,8063
287,1682976.0,6464337,IN2P3-CC,0.9682919,8520,ccwsge0137,2858624061,8799
288,1671418.0,6464182,IN2P3-CC,0.95965755,8183,ccwsge0131,2858624084,8527
289,1678002.0,6464203,IN2P3-CC,0.9674859,7558,ccwsge0573,2858624089,7812
290,1617307.0,6464576,IN2P3-CC,0.9700048,8117,ccwsge0111,2858624105,8368
291,1677388.0,6464577,IN2P3-CC,0.9659229,7965,ccwsge1127,2858624107,8246
292,1631593.0,6461693,IN2P3-CC,0.9705467,9622,ccwsge0580,2858623739,9914
293,1785782.0,6461914,IN2P3-CC,0.9668344,8454,ccwsge0337,2858623743,8744
294,1673151.0,6461694,IN2P3-CC,0.96529907,9458,ccwsge0338,2858623744,9798
295,876767.0,6478148,IN2P3-CC,0.89718616,829,ccwsge0780,2858884915,924
296,1638906.0,6453311,IN2P3-CC,0.9579101,10469,ccwsge0275,2858532290,10929
297,1641489.0,6453313,IN2P3-CC,0.96342486,10352,ccwsge0707,2858532291,10745
298,1614684.0,6453310,IN2P3-CC,0.962506,9986,ccwsge0226,2858532292,10375
